season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
spring,2018,jan,not-holiday,Sat,Non-Working,Mist,14.110847,80.5833,10.749882000000001,985
spring,2018,jan,not-holiday,Sun,Non-Working,Mist,14.902598000000001,69.6087,16.652113,801
spring,2018,jan,not-holiday,Mon,Workingday,Clear,8.050924,43.7273,16.636703,1349
spring,2018,jan,not-holiday,Tue,Workingday,Clear,8.2,59.0435,10.739832,1562
spring,2018,jan,not-holiday,Wed,Workingday,Clear,9.305237,43.6957,12.5223,1600
spring,2018,jan,not-holiday,Ths,Workingday,Clear,8.378267999999998,51.8261,6.0008684,1606
spring,2018,jan,not-holiday,Fri,Workingday,Mist,8.057402,49.8696,11.304642,1510
spring,2018,jan,not-holiday,Sat,Non-Working,Mist,6.765,53.5833,17.875868,959
spring,2018,jan,not-holiday,Sun,Non-Working,Clear,5.671653,43.4167,24.25065,822
spring,2018,jan,not-holiday,Mon,Workingday,Clear,6.184153,48.2917,14.958889000000001,1321
spring,2018,jan,not-holiday,Tue,Workingday,Mist,6.9327309999999995,68.6364,8.182844000000001,1263
spring,2018,jan,not-holiday,Wed,Workingday,Clear,7.081807,59.9545,20.410009,1162
spring,2018,jan,not-holiday,Ths,Workingday,Clear,6.765,47.0417,20.167,1406
spring,2018,jan,not-holiday,Fri,Workingday,Clear,6.59567,53.7826,8.478716,1421
spring,2018,jan,not-holiday,Sat,Non-Working,Mist,9.566653,49.875,10.583521000000001,1248
spring,2018,jan,not-holiday,Sun,Non-Working,Clear,9.498347,48.375,12.625011,1204
spring,2018,jan,holiday,Mon,Non-Working,Mist,7.209153,53.75,12.999139,1000
spring,2018,jan,not-holiday,Tue,Workingday,Mist,8.883347,86.1667,9.833925,683
spring,2018,jan,not-holiday,Wed,Workingday,Mist,11.979134,74.1739,13.957239000000001,1650
spring,2018,jan,not-holiday,Ths,Workingday,Mist,10.728347,53.8333,13.125568,1927
spring,2018,jan,not-holiday,Fri,Workingday,Clear,7.2775,45.7083,23.667214,1543
spring,2018,jan,not-holiday,Sat,Non-Working,Clear,2.4243464,40.0,11.521989999999999,981
spring,2018,jan,not-holiday,Sun,Non-Working,Clear,3.9573897000000002,43.6522,16.5222,986
spring,2018,jan,not-holiday,Mon,Workingday,Clear,3.9930432999999996,49.1739,10.60811,1416
spring,2018,jan,not-holiday,Tue,Workingday,Mist,9.162598,61.6957,8.696332,1985
spring,2018,jan,not-holiday,Wed,Workingday,Light snow,8.9175,86.25,19.68795,506
spring,2018,jan,not-holiday,Ths,Workingday,Clear,7.995,68.75,7.627078999999999,431
spring,2018,jan,not-holiday,Fri,Workingday,Mist,8.342597999999999,79.3043,8.2611,1167
spring,2018,jan,not-holiday,Sat,Non-Working,Clear,8.057402,65.1739,9.739455,1098
spring,2018,jan,not-holiday,Sun,Non-Working,Clear,8.877402,72.2174,4.9568342,1096
spring,2018,jan,not-holiday,Mon,Workingday,Mist,7.414153,60.375,12.541864,1501
spring,2018,feb,not-holiday,Tue,Workingday,Mist,7.879134,82.9565,3.565271,1360
spring,2018,feb,not-holiday,Wed,Workingday,Mist,10.66,77.5417,17.708636,1526
spring,2018,feb,not-holiday,Ths,Workingday,Clear,7.665236999999999,43.7826,18.609384,1550
spring,2018,feb,not-holiday,Fri,Workingday,Mist,8.663464,58.5217,8.565213,1708
spring,2018,feb,not-holiday,Sat,Non-Working,Mist,9.566653,92.9167,10.792292999999999,1005
spring,2018,feb,not-holiday,Sun,Non-Working,Clear,11.719153,56.8333,9.5006,1623
spring,2018,feb,not-holiday,Mon,Workingday,Clear,11.138347,73.8333,3.0423561,1712
spring,2018,feb,not-holiday,Tue,Workingday,Clear,9.054153,53.7917,24.25065,1530
spring,2018,feb,not-holiday,Wed,Workingday,Mist,5.526103,49.4783,12.652213,1605
spring,2018,feb,not-holiday,Ths,Workingday,Clear,5.918268,43.7391,14.869645000000002,1538
spring,2018,feb,not-holiday,Fri,Workingday,Clear,7.752731,50.6364,7.27285,1746
spring,2018,feb,not-holiday,Sat,Non-Working,Clear,9.1225,54.4167,13.625589000000002,1472
spring,2018,feb,not-holiday,Sun,Non-Working,Clear,12.977402,45.7391,17.479160999999998,1589
spring,2018,feb,not-holiday,Mon,Workingday,Clear,17.015,37.5833,27.999836,1913
spring,2018,feb,not-holiday,Tue,Workingday,Clear,10.909567,31.4348,19.522057999999998,1815
spring,2018,feb,not-holiday,Wed,Workingday,Clear,13.048701,42.3478,16.869997,2115
spring,2018,feb,not-holiday,Ths,Workingday,Clear,17.869153,50.5,15.416967999999999,2475
spring,2018,feb,not-holiday,Fri,Workingday,Clear,21.388347,51.6667,17.749975,2927
spring,2018,feb,not-holiday,Sat,Non-Working,Clear,16.365847,18.7917,34.000021000000004,1635
spring,2018,feb,not-holiday,Sun,Non-Working,Clear,11.693897,40.7826,14.956745000000002,1812
spring,2018,feb,holiday,Mon,Non-Working,Mist,12.436653,60.5,20.625682,1107
spring,2018,feb,not-holiday,Tue,Workingday,Clear,7.471102,57.7778,13.110760999999998,1450
spring,2018,feb,not-holiday,Wed,Workingday,Clear,9.091299000000001,42.3043,6.305571,1917
